name,data_type,bit_length
ENG_FILL_HDR_SCID,fill,8
ENG_FILL_HDR_FILL1,fill,1
ENG_FILL_HDR_FLASH_BLOCK,fill,15
ENG_FILL_HDR_FILL2,fill,2
ENG_FILL_HDR_TIME_QUALITY,fill,2
ENG_FILL_HDR_USEC,fill,20
ENG_FILL_HDR_SEC,fill,32
FILL_VALUE,fill,8856
ENG_FILL_PADDING,fill,24
ENG_FILL_CKSUM,fill,16
