name,data_type,bit_length
SBRX_SPREAD_FACTOR,fill,32
SBRX_BANDWIDTH,float,64
SBRX_IRATE,float,64
SBRX_INTERLEAVE,uint,32
SBRX_CMAP,str,160
SBRX_COMPRESSION_VALID,uint,32
SBRX_PRE_PACKET,str,160
SBRX_AUTO_PAUSE_DELAY,fill,32
SBRX_ASM,str,160
ENG_XTS_PADDING,uint,16
ENG_XTS_CKSUM,uint,16
